S0,P,APE,kappa,runtime,K,dt
100,10000,0.900121,2.50635e+16,0.132097,100,0.00025
100,10000,0.984937,2.77032e+16,0.132635,100,0.00025
100,10000,0.163283,2.49362e+16,0.133548,100,0.00025
100,10000,0.471638,2.53398e+16,0.146361,100,0.00025
100,10000,2.52155,2.56399e+16,0.145798,100,0.00025
100,10000,1.5252,2.52704e+16,0.132014,100,0.00025
100,10000,0.223289,2.81325e+16,0.128408,100,0.00025
100,10000,0.343016,2.5952e+16,0.131571,100,0.00025
100,10000,0.891871,2.64721e+16,0.133095,100,0.00025
100,10000,0.659118,2.51188e+16,0.130473,100,0.00025
100,10000,0.890192,2.70448e+16,0.132575,100,0.00025
100,10000,1.44668,2.42743e+16,0.131399,100,0.00025
100,10000,0.821508,2.41656e+16,0.131522,100,0.00025
100,10000,1.50653,2.50766e+16,0.129956,100,0.00025
100,10000,0.315228,2.45021e+16,0.131913,100,0.00025
100,10000,2.6722,2.42017e+16,0.142364,100,0.00025
100,10000,2.09609,2.72183e+16,0.134235,100,0.00025
100,10000,7.91932,4.77414e+16,0.0468109,95,0.00025
100,10000,6.57198,4.86678e+16,0.0471298,95,0.00025
100,10000,4.75567,5.81415e+16,0.0509939,95,0.00025
100,10000,1.05181,1.36961e+16,0.061783,95,0.00025
100,10000,7.42735,1.41258e+17,0.0467567,95,0.00025
100,10000,9.42571,5.23038e+16,0.0471938,95,0.00025
100,10000,4.22207,7.23859e+16,0.064242,95,0.00025
100,10000,7.21451,1.06495e+17,0.0610645,95,0.00025
100,10000,7.32426,1.34402e+17,0.0609365,95,0.00025
100,10000,2.55731,4.64504e+16,0.0469497,95,0.00025
100,10000,3.88419,3.72505e+16,0.0471005,95,0.00025
100,10000,2.34521,1.00791e+17,0.0473929,95,0.00025
100,10000,1.21847,1.27359e+17,0.0462966,95,0.00025
100,10000,5.08371,9.00274e+16,0.047603,95,0.00025
100,10000,8.26642,7.59491e+16,0.0489637,95,0.00025
100,10000,8.55032,1.00533e+17,0.0466101,95,0.00025
100,10000,4.48926,6.89722e+16,0.046517,95,0.00025
100,10000,0.798594,6.55956e+16,0.0478099,95,0.00025
100,10000,7.17534,4.55537e+16,0.0564408,95,0.00025
100,10000,4.3889,1.17793e+17,0.0464442,95,0.00025
100,10000,4.26849,5.21021e+16,0.0465905,95,0.00025
100,10000,0.107537,5.05284e+16,0.0468685,95,0.00025
100,10000,5.63559,8.65434e+16,0.0489442,95,0.00025
100,10000,11.3709,6.17198e+16,0.0468225,95,0.00025
100,10000,3.54633,1.28386e+17,0.0458319,95,0.00025
100,10000,8.9861,1.38275e+17,0.0464125,95,0.00025
100,10000,7.62184,5.49278e+16,0.0465589,95,0.00025
100,10000,1.93974,8.87637e+16,0.0461565,95,0.00025
100,10000,0.883962,5.10707e+16,0.0460797,95,0.00025
100,10000,14.4751,1.13448e+17,0.0454287,95,0.00025
100,10000,8.1479,1.15426e+17,0.0464768,95,0.00025
100,10000,14.8087,8.20105e+16,0.0466584,95,0.00025
100,10000,9.38438,1.00918e+17,0.0465381,95,0.00025
100,10000,2.70609,5.4513e+16,0.0465758,95,0.00025
100,10000,3.05804,1.34281e+17,0.0462883,95,0.00025
100,10000,17.7347,4.7292e+16,0.0586485,95,0.00025
100,10000,11.2711,8.95169e+16,0.046397,95,0.00025
100,10000,9.61603,7.41537e+16,0.0468168,95,0.00025
100,10000,8.44647,5.02491e+16,0.0525676,95,0.00025
100,10000,1.73378,1.108e+17,0.0487493,95,0.00025
100,10000,0.641753,9.10544e+16,0.046226,95,0.00025
100,10000,5.56565,8.96225e+16,0.0469135,95,0.00025
100,10000,5.30765,9.37117e+16,0.0467118,95,0.00025
100,10000,9.30341,1.01209e+17,0.0471993,95,0.00025
100,10000,5.85423,8.25893e+16,0.0465275,95,0.00025
100,10000,12.1043,3.9525e+16,0.0465257,95,0.00025
100,10000,2.23298,4.27809e+16,0.0449732,95,0.00025
100,10000,4.9913,5.64568e+16,0.0464252,95,0.00025
100,10000,8.68547,7.81945e+16,0.0465995,95,0.00025
100,10000,15.5516,8.10802e+16,0.0461811,95,0.00025
100,10000,0.046164,2.04504e+15,0.210549,110,0.0005
100,10000,0.143343,2.10501e+15,0.208248,110,0.0005
100,10000,0.0604732,2.13053e+15,0.209993,110,0.0005
100,10000,0.0446665,2.04859e+15,0.20993,110,0.0005
100,10000,0.00900002,2.05277e+15,0.20697,110,0.0005
100,10000,0.0737078,2.06059e+15,0.207453,110,0.0005
100,10000,0.0752642,2.01088e+15,0.207014,110,0.0005
100,10000,0.0999966,2.0709e+15,0.210553,110,0.0005
100,10000,0.0189288,2.10489e+15,0.20814,110,0.0005
100,10000,0.0308235,2.04871e+15,0.206156,110,0.0005
