N,P,APE,kappa,runtime,K,runType
1,10000,6.58753,0.0,0.0043631,102.5,1.0
1,10000,6.66829,0.0,0.0033049,102.5,1.0
1,10000,3.78703,0.0,0.0075929,95.0,1.0
1,10000,3.72734,0.0,0.0061572,95.0,1.0
1,10000,3.76012,0.0,0.0092227,95.0,1.0
1,10000,6.68493,0.0,0.0029154,102.5,1.0
1,10000,3.72316,0.0,0.006927,95.0,1.0
1,10000,6.69022,0.0,0.0038516,102.5,1.0
1,10000,6.54506,0.0,0.0033174,102.5,1.0
1,10000,3.66909,0.0,0.0080032,95.0,1.0
1,10000,6.73927,0.0,0.0032053,102.5,1.0
1,10000,3.71679,0.0,0.0068074,95.0,1.0
1,10000,3.74241,0.0,0.0075916,95.0,1.0
1,10000,6.58596,0.0,0.0042447,102.5,1.0
1,10000,3.70112,0.0,0.0063858,95.0,1.0
1,10000,6.66559,0.0,0.003618,102.5,1.0
1,10000,3.69914,0.0,0.0079197,95.0,1.0
1,10000,6.81346,0.0,0.003669,102.5,1.0
1,10000,6.671,0.0,0.0055172,102.5,1.0
1,10000,3.75629,0.0,0.0064969,95.0,1.0
1,10000,6.57049,0.0,0.0035982,102.5,1.0
1,10000,3.7157,0.0,0.0065811,95.0,1.0
1,10000,6.67158,0.0,0.0032527,102.5,1.0
1,10000,3.61515,0.0,0.0071202,95.0,1.0
1,10000,3.60205,0.0,0.006785,95.0,1.0
1,10000,6.55119,0.0,0.0032529,102.5,1.0
1,10000,6.58718,0.0,0.0032079,102.5,1.0
1,10000,6.6823,0.0,0.0031709,102.5,1.0
1,10000,3.72193,0.0,0.0061322,95.0,1.0
1,10000,3.6926,0.0,0.0062195,95.0,1.0
1,10000,6.57565,0.0,0.0036339,102.5,1.0
1,10000,3.6801,0.0,0.0071274,95.0,1.0
1,10000,6.77938,0.0,0.0054976,102.5,1.0
1,10000,3.69354,0.0,0.006442,95.0,1.0
1,10000,6.64674,0.0,0.0045173,102.5,1.0
1,10000,6.58527,0.0,0.0033682,102.5,1.0
1,10000,3.77672,0.0,0.0066484,95.0,1.0
1,10000,6.71363,0.0,0.0035999,102.5,1.0
1,10000,3.72905,0.0,0.0062737,95.0,1.0
